image,anquito,apio,berenjena,cebolla,cebolla morada,choclo,coliflor,huevo,lechuga,papa,pimiento amarillo,pimiento rojo,pimiento verde,remolacha
imagen_359.jpg,1,0,0,0,0,0,0,0,0,0,0,0,0,0
imagen_361.jpg,1,0,0,0,0,0,0,0,0,0,0,0,0,0
imagen_362.jpg,1,0,0,0,0,0,0,0,0,0,0,0,0,0
imagen_363.jpg,1,0,0,0,0,0,0,0,0,0,0,0,0,0
imagen_364.jpg,1,0,0,0,0,0,0,0,0,0,0,0,0,0
imagen_365.jpg,1,0,0,0,0,0,0,0,0,0,0,0,0,0
imagen_367.jpg,1,0,0,0,0,0,0,0,0,0,0,0,0,0
imagen_368.jpg,1,0,0,0,0,0,0,0,0,0,0,0,0,0
imagen_371.jpg,1,0,0,0,0,0,0,0,0,0,0,0,0,0
an10.jpeg,1,0,0,0,0,0,0,0,0,0,0,0,0,0
an11.jpeg,1,0,0,0,0,0,0,0,0,0,0,0,0,0
an2.jpeg,1,0,0,0,0,0,0,0,0,0,0,0,0,0
an1.jpeg,1,0,0,0,0,0,0,0,0,0,0,0,0,0
an3.jpeg,1,0,0,0,0,0,0,0,0,0,0,0,0,0
an4.jpeg,1,0,0,0,0,0,0,0,0,0,0,0,0,0
an5.jpeg,1,0,0,0,0,0,0,0,0,0,0,0,0,0
an6.jpeg,1,0,0,0,0,0,0,0,0,0,0,0,0,0
an7.jpeg,1,0,0,0,0,0,0,0,0,0,0,0,0,0
an8.jpeg,1,0,0,0,0,0,0,0,0,0,0,0,0,0
an9.jpeg,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ap1.jpeg,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ap2.jpeg,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ap3.jpeg,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ap4.jpeg,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ap5.jpeg,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ap6.jpeg,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ap7.jpeg,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ap8.jpeg,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ap9.jpeg,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ap10.jpeg,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ap11.jpeg,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ap12.jpeg,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ap13.jpeg,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ap14.jpeg,0,1,0,0,0,0,0,0,0,0,0,0,0,0
imagen_465.jpg,0,1,0,0,0,0,0,0,0,0,0,0,0,0
imagen_468.jpg,0,1,0,0,0,0,0,0,0,0,0,0,0,0
imagen_474.jpg,0,1,0,0,0,0,0,0,0,0,0,0,0,0
imagen_482.jpg,0,1,0,0,0,0,0,0,0,0,0,0,0,0
imagen_485.jpg,0,1,0,0,0,0,0,0,0,0,0,0,0,0
imagen_489.jpg,0,1,0,0,0,0,0,0,0,0,0,0,0,0
be1.jpeg,0,0,1,0,0,0,0,0,0,0,0,0,0,0
be2.jpeg,0,0,1,0,0,0,0,0,0,0,0,0,0,0
be3.jpeg,0,0,1,0,0,0,0,0,0,0,0,0,0,0
be4.jpeg,0,0,1,0,0,0,0,0,0,0,0,0,0,0
be5.jpeg,0,0,1,0,0,0,0,0,0,0,0,0,0,0
be6.jpeg,0,0,1,0,0,0,0,0,0,0,0,0,0,0
be7.jpeg,0,0,1,0,0,0,0,0,0,0,0,0,0,0
be8.jpeg,0,0,1,0,0,0,0,0,0,0,0,0,0,0
be9.jpeg,0,0,1,0,0,0,0,0,0,0,0,0,0,0
be10.jpeg,0,0,1,0,0,0,0,0,0,0,0,0,0,0
be11.jpeg,0,0,1,0,0,0,0,0,0,0,0,0,0,0
be12.jpeg,0,0,1,0,0,0,0,0,0,0,0,0,0,0
be13.jpeg,0,0,1,0,0,0,0,0,0,0,0,0,0,0
be14.jpeg,0,0,1,0,0,0,0,0,0,0,0,0,0,0
